,region,land_use,total_suitability
229,Hawke's Bay,Apple,Suitable - already grown
230,Hawke's Bay,Apricot,Suitable - already grown
231,Hawke's Bay,Arable Crop,Not enough information to exclude
232,Hawke's Bay,Avocado,Suitable - already grown
233,Hawke's Bay,Barley,Not enough information to exclude
234,Hawke's Bay,Barley (grain),Not enough information to exclude
235,Hawke's Bay,Beetroot,Not enough information to exclude
236,Hawke's Bay,Blueberry,Suitable - already grown
237,Hawke's Bay,Blueberry (HyperFarm),Not enough information to exclude
238,Hawke's Bay,Broccoli,Not enough information to exclude
239,Hawke's Bay,Cabbage,Not enough information to exclude
240,Hawke's Bay,Carrot,Not enough information to exclude
241,Hawke's Bay,Cauliflower,Not enough information to exclude
242,Hawke's Bay,Cherry (CL),Suitable - already grown
243,Hawke's Bay,Cherry (HyperFarm),Not enough information to exclude
244,Hawke's Bay,Cherry (UFO),Suitable - already grown
245,Hawke's Bay,Chestnut (Placeholder),Not enough information to exclude
246,Hawke's Bay,Commercial Forest,Not enough information to exclude
247,Hawke's Bay,Dairy,Not enough information to exclude
248,Hawke's Bay,Dairy Goat,Not enough information to exclude
249,Hawke's Bay,Field Pea,Suitable - already grown
250,Hawke's Bay,Forage Oat,Not enough information to exclude
251,Hawke's Bay,Grape,Suitable - already grown
252,Hawke's Bay,Honey-Manuka (Placeholder),Not enough information to exclude
253,Hawke's Bay,Hops,Suitable - already grown
254,Hawke's Bay,Kale,Not enough information to exclude
255,Hawke's Bay,Kiwifruit (Gold),Suitable - already grown
256,Hawke's Bay,Kiwifruit (Green),Suitable - already grown
257,Hawke's Bay,Kiwifruit (HyperFarm),Not enough information to exclude
258,Hawke's Bay,Lemon (Meyer),Suitable - already grown
259,Hawke's Bay,Lemon (Yen Ben),Suitable - already grown
260,Hawke's Bay,Lettuce,Not enough information to exclude
261,Hawke's Bay,Macadamia,Suitable - already grown
262,Hawke's Bay,Maize,Suitable - WWO
263,Hawke's Bay,Mandarin (Encore),Suitable - already grown
264,Hawke's Bay,Mandarin (Satsuma),Suitable - already grown
265,Hawke's Bay,Native Bush,Not enough information to exclude
266,Hawke's Bay,Native regen (Placeholder),Not enough information to exclude
267,Hawke's Bay,Nectarine,Suitable - already grown
268,Hawke's Bay,Onion,Suitable - already grown
269,Hawke's Bay,Orange (Navel),Suitable - already grown
270,Hawke's Bay,Orange (Valencia),Suitable - already grown
271,Hawke's Bay,Pea,Not enough information to exclude
272,Hawke's Bay,Peach,Suitable - already grown
273,Hawke's Bay,Potato (Fresh Potato),Suitable - already grown
274,Hawke's Bay,Potato (Process Potato),Suitable - already grown
275,Hawke's Bay,Potato (Seed Potato),Not enough information to exclude
276,Hawke's Bay,Potato (Summer Potato),Not enough information to exclude
277,Hawke's Bay,Ryegrass Seed,Not enough information to exclude
278,Hawke's Bay,Sheep/beef,Not enough information to exclude
279,Hawke's Bay,Spinach,Not enough information to exclude
280,Hawke's Bay,Squash,Suitable - already grown
281,Hawke's Bay,Sweetcorn,Not enough information to exclude
282,Hawke's Bay,Tomato,Not enough information to exclude
283,Hawke's Bay,Truffle (Placeholder),Not enough information to exclude
284,Hawke's Bay,Vining Pea,Suitable - already grown
285,Hawke's Bay,Wheat,Suitable - WWO
286,Manawatu-Whanganui,Apple,Not enough information to exclude
287,Manawatu-Whanganui,Apricot,Not enough information to exclude
288,Manawatu-Whanganui,Arable Crop,Not enough information to exclude
289,Manawatu-Whanganui,Avocado,Unsuitable
290,Manawatu-Whanganui,Barley,Not enough information to exclude
291,Manawatu-Whanganui,Barley (grain),Not enough information to exclude
292,Manawatu-Whanganui,Beetroot,Suitable - already grown
293,Manawatu-Whanganui,Blueberry,Suitable - already grown
294,Manawatu-Whanganui,Blueberry (HyperFarm),Not enough information to exclude
295,Manawatu-Whanganui,Broccoli,Not enough information to exclude
296,Manawatu-Whanganui,Cabbage,Not enough information to exclude
297,Manawatu-Whanganui,Carrot,Not enough information to exclude
298,Manawatu-Whanganui,Cauliflower,Not enough information to exclude
299,Manawatu-Whanganui,Cherry (CL),Suitable - WWO
300,Manawatu-Whanganui,Cherry (HyperFarm),Not enough information to exclude
301,Manawatu-Whanganui,Cherry (UFO),Suitable - WWO
302,Manawatu-Whanganui,Chestnut (Placeholder),Not enough information to exclude
303,Manawatu-Whanganui,Commercial Forest,Not enough information to exclude
304,Manawatu-Whanganui,Dairy,Not enough information to exclude
305,Manawatu-Whanganui,Dairy Goat,Not enough information to exclude
306,Manawatu-Whanganui,Field Pea,Not enough information to exclude
307,Manawatu-Whanganui,Forage Oat,Not enough information to exclude
