"","region","land_use","total_suitability"
"246","Marlborough","Native Bush","Suitable - already grown"
"247","Marlborough","Nectarine","Suitable - already grown"
"248","Marlborough","Onion","Suitable - already grown"
"249","Marlborough","Orange (Navel)","Suitable - already grown"
"250","Marlborough","Orange (Valencia)","Suitable - already grown"
"251","Marlborough","Peach","Suitable - already grown"
"252","Marlborough","Potato (Fresh Potato)","Suitable - already grown"
"253","Marlborough","Potato (Process Potato)","Suitable - already grown"
"254","Marlborough","Ryegrass Seed","Not enough information to exclude"
"255","Marlborough","Sheep/beef","Suitable - already grown"
"256","Marlborough","South Island arable rotation","Not enough information to exclude"
"257","Marlborough","Squash","Not enough information to exclude"
"258","Marlborough","Vining Pea","Suitable - already grown"
"259","Marlborough","Wheat","Suitable - WWO"
"260","Nelson","Apple","Suitable - already grown"
"261","Nelson","Apricot","Not enough information to exclude"
"262","Nelson","Avocado","Unsuitable"
"263","Nelson","Barley","Not enough information to exclude"
"264","Nelson","Beetroot","Not enough information to exclude"
"265","Nelson","Blueberry","Suitable - WWO"
"266","Nelson","Broad acre vegetable rotation","Unsuitable"
"267","Nelson","Cherry (CL)","Suitable - WWO"
"268","Nelson","Cherry (UFO)","Suitable - WWO"
"269","Nelson","Commercial Forest","Suitable - already grown"
"270","Nelson","Dairy","Suitable - already grown"
"271","Nelson","Field Pea","Not enough information to exclude"
"272","Nelson","Grape","Suitable - already grown"
"273","Nelson","Hops","Not enough information to exclude"
"274","Nelson","Kale","Not enough information to exclude"
"275","Nelson","Kiwifruit (Gold)","Suitable - WWO"
"276","Nelson","Kiwifruit (Green)","Unsuitable"
"277","Nelson","Lemon (Meyer)","Not enough information to exclude"
"278","Nelson","Lemon (Yen Ben)","Not enough information to exclude"
"279","Nelson","Macadamia","Not enough information to exclude"
"280","Nelson","Maize","Unsuitable"
"281","Nelson","Mandarin (Encore)","Not enough information to exclude"
"282","Nelson","Mandarin (Satsuma)","Not enough information to exclude"
"283","Nelson","Native Bush","Suitable - already grown"
"284","Nelson","Nectarine","Not enough information to exclude"
"285","Nelson","Onion","Unsuitable"
"286","Nelson","Orange (Navel)","Not enough information to exclude"
"287","Nelson","Orange (Valencia)","Not enough information to exclude"
"288","Nelson","Peach","Not enough information to exclude"
"289","Nelson","Potato (Fresh Potato)","Suitable - WWO"
"290","Nelson","Potato (Process Potato)","Suitable - WWO"
"291","Nelson","Ryegrass Seed","Not enough information to exclude"
"292","Nelson","Sheep/beef","Suitable - already grown"
"293","Nelson","South Island arable rotation","Unsuitable"
"294","Nelson","Squash","Not enough information to exclude"
"295","Nelson","Vining Pea","Suitable - WWO"
"296","Nelson","Wheat","Suitable - WWO"
"297","Northland","Apple","Suitable - already grown"
"298","Northland","Apricot","Suitable - already grown"
"299","Northland","Avocado","Suitable - already grown"
"300","Northland","Barley","Not enough information to exclude"
"301","Northland","Beetroot","Not enough information to exclude"
"302","Northland","Blueberry","Suitable - already grown"
"303","Northland","Broad acre vegetable rotation","Not enough information to exclude"
"304","Northland","Cherry (CL)","Suitable - already grown"
"305","Northland","Cherry (UFO)","Suitable - already grown"
"306","Northland","Commercial Forest","Suitable - already grown"
"307","Northland","Dairy","Suitable - already grown"
"308","Northland","Field Pea","Not enough information to exclude"
"309","Northland","Grape","Suitable - WWO"
"310","Northland","Hops","Suitable - already grown"
"311","Northland","Kale","Not enough information to exclude"
"312","Northland","Kiwifruit (Gold)","Suitable - already grown"
"313","Northland","Kiwifruit (Green)","Suitable - already grown"
"314","Northland","Lemon (Meyer)","Suitable - already grown"
"315","Northland","Lemon (Yen Ben)","Suitable - already grown"
"316","Northland","Macadamia","Suitable - already grown"
"317","Northland","Maize","Suitable - WWO"
"318","Northland","Mandarin (Encore)","Suitable - already grown"
"319","Northland","Mandarin (Satsuma)","Suitable - already grown"
"320","Northland","Native Bush","Suitable - already grown"
"321","Northland","Nectarine","Suitable - already grown"
"322","Northland","Onion","Suitable - already grown"
"323","Northland","Orange (Navel)","Suitable - already grown"
"324","Northland","Orange (Valencia)","Suitable - already grown"
"325","Northland","Peach","Suitable - already grown"
"326","Northland","Potato (Fresh Potato)","Suitable - already grown"
"327","Northland","Potato (Process Potato)","Suitable - already grown"
"328","Northland","Ryegrass Seed","Not enough information to exclude"
"329","Northland","Sheep/beef","Suitable - already grown"
"330","Northland","South Island arable rotation","Not enough information to exclude"
"331","Northland","Squash","Suitable - already grown"
"332","Northland","Vining Pea","Suitable - WWO"
"333","Northland","Wheat","Suitable - WWO"
"334","Otago","Apple","Suitable - already grown"
"335","Otago","Apricot","Suitable - already grown"
"336","Otago","Avocado","Unsuitable"
"337","Otago","Barley","Not enough information to exclude"
"338","Otago","Beetroot","Not enough information to exclude"
"339","Otago","Blueberry","Suitable - already grown"
"340","Otago","Broad acre vegetable rotation","Unsuitable"
"341","Otago","Cherry (CL)","Suitable - already grown"
"342","Otago","Cherry (UFO)","Suitable - already grown"
"343","Otago","Commercial Forest","Suitable - already grown"
"344","Otago","Dairy","Suitable - already grown"
"345","Otago","Field Pea","Suitable - already grown"
"346","Otago","Grape","Suitable - already grown"
"347","Otago","Hops","Suitable - already grown"
"348","Otago","Kale","Not enough information to exclude"
"349","Otago","Kiwifruit (Gold)","Suitable - already grown"
"350","Otago","Kiwifruit (Green)","Suitable - already grown"
"351","Otago","Lemon (Meyer)","Not enough information to exclude"
"352","Otago","Lemon (Yen Ben)","Not enough information to exclude"
"353","Otago","Macadamia","Suitable - already grown"
"354","Otago","Maize","Unsuitable"
"355","Otago","Mandarin (Encore)","Not enough information to exclude"
"356","Otago","Mandarin (Satsuma)","Not enough information to exclude"
"357","Otago","Native Bush","Suitable - already grown"
"358","Otago","Nectarine","Suitable - already grown"
"359","Otago","Onion","Suitable - already grown"
"360","Otago","Orange (Navel)","Not enough information to exclude"
"361","Otago","Orange (Valencia)","Not enough information to exclude"
"362","Otago","Peach","Suitable - already grown"
"363","Otago","Potato (Fresh Potato)","Suitable - already grown"
"364","Otago","Potato (Process Potato)","Suitable - already grown"
"365","Otago","Ryegrass Seed","Not enough information to exclude"
"366","Otago","Sheep/beef","Suitable - already grown"
"367","Otago","South Island arable rotation","Not enough information to exclude"
"368","Otago","Squash","Not enough information to exclude"
